data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-05-13 23:48:47.680435;36;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Jodi Lebrun;feminino;pix
2024-05-14 15:54:52.427419;37;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Siobhan Berardino;feminino;boleto
2024-05-14 16:37:47.526540;38;Florianópolis;Tiago Lima;Smartwatch Garmin;Amelia Rice;feminino;dinheiro
2024-05-14 18:49:46.943725;39;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Isaac Underwood;masculino;pix
2024-05-15 18:01:46.048997;40;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Hilda Mcmickell;feminino;dinheiro
2024-05-15 18:17:47.328884;41;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Charles Smith;masculino;cartão de crédito
2024-05-15 19:04:52.612136;42;Florianópolis;Tiago Lima;Smartwatch Garmin;Ann Meneses;feminino;dinheiro
2024-05-15 19:27:51.754767;43;São Paulo;Ana Oliveira;Tablet Apple Ipad;Mary Wilkin;feminino;boleto
2024-05-15 20:41:47.889900;44;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Ruby Prouty;feminino;boleto
2024-05-16 01:49:53.023143;45;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Joseph Belmonte;masculino;pix
2024-05-16 15:46:47.946424;46;São Paulo;Lucas Pereira;Tablet Apple Ipad;Paul Howe;masculino;boleto
2024-05-16 16:14:52.573794;47;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Elizabeth Denton;feminino;boleto
2024-05-16 19:24:49.962069;48;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Kevin Chappell;masculino;cartão de crédito
2024-05-16 19:25:46.181803;49;São Paulo;Ana Oliveira;Fone de Ouvido Sony;Charles Kong;masculino;pix
2024-05-16 20:49:46.682538;50;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Kristen Adams;feminino;dinheiro
2024-05-16 23:15:48.095235;51;Florianópolis;Tiago Lima;Tablet Apple Ipad;Jeanne Talaga;feminino;pix
2024-05-17 00:30:49.967794;52;Florianópolis;Gabriela Santos;Smartwatch Garmin;Shauna Shears;feminino;cartão de crédito
2024-05-17 01:07:52.504750;53;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Sandra Budge;feminino;cartão de crédito
2024-05-17 15:18:46.279765;54;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Anna Patrick;feminino;cartão de crédito
2024-05-17 16:58:45.808054;55;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Meredith Fitzhugh;feminino;pix
2024-05-17 23:43:49.992927;56;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Julia Berard;feminino;dinheiro
2024-05-18 16:24:53.665518;57;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Martha Hough;feminino;pix
2024-05-18 18:00:53.139781;58;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Betty Prouse;feminino;cartão de crédito
2024-05-18 18:08:51.695265;59;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Helen Myers;feminino;cartão de crédito
2024-05-18 19:10:51.298117;60;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Alfred Kato;masculino;dinheiro
2024-05-18 19:11:45.908709;61;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;John Brueckman;masculino;boleto
2024-05-18 19:16:47.525431;62;São Paulo;Ana Oliveira;Smartwatch Garmin;Ronald Mcmurray;masculino;dinheiro
2024-05-18 19:49:51.153424;63;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Gerald Hudnell;masculino;pix
2024-05-18 20:07:52.653978;64;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Janet Thomas;feminino;dinheiro
2024-05-19 00:35:48.336171;65;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Ruby Sonderegger;feminino;boleto
2024-05-19 01:37:49.964053;66;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Christine Washington;feminino;pix
2024-05-19 15:16:50.847617;67;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Leo Gismondi;masculino;pix
2024-05-19 16:00:52.515252;68;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Dianne Odom;feminino;dinheiro
2024-05-19 16:01:47.513775;69;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Daniel Saraiva;masculino;boleto
2024-05-19 18:34:52.070002;70;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Paul Smothers;masculino;boleto
2024-05-19 19:23:51.829651;71;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Susan Engman;feminino;dinheiro
2024-05-19 20:04:46.187046;72;Florianópolis;Tiago Lima;Smartwatch Garmin;Dina Swanson;feminino;cartão de crédito
2024-05-20 01:27:50.308790;73;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Heather Pelkey;feminino;dinheiro
2024-05-20 20:31:46.184510;74;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Malissa See;feminino;pix
2024-05-20 20:47:49.325607;75;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Stephen Grubb;masculino;cartão de crédito
2024-05-20 21:59:51.081356;76;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Jennifer Molina;feminino;dinheiro
2024-05-20 23:12:47.851097;77;Florianópolis;Tiago Lima;Tablet Apple Ipad;Nathaniel Thompson;masculino;dinheiro
2024-05-21 01:30:50.534164;78;São Paulo;Ana Oliveira;Smartwatch Garmin;Katherine Keene;feminino;boleto
2024-05-21 15:46:46.898557;79;São Paulo;Lucas Pereira;Notebook Dell Inspiron;John Lim;masculino;pix
2024-05-21 18:45:47.927199;80;São Paulo;Ana Oliveira;Tablet Apple Ipad;Heidi Robertson;feminino;pix
2024-05-22 00:13:52.211303;81;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Sergio Guzman;masculino;dinheiro
2024-05-22 15:09:46.902310;82;São Paulo;Ana Oliveira;Tablet Apple Ipad;Edward Schermerhorn;masculino;dinheiro
2024-05-22 19:01:46.490079;83;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Alfredo Young;masculino;dinheiro
2024-05-22 19:04:49.097347;84;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Virginia Macdonald;feminino;pix
2024-05-22 21:41:46.313391;85;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Scott Hall;masculino;pix
2024-05-22 21:42:47.956566;86;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Edward Peard;masculino;pix
2024-05-22 21:56:47.926807;87;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Kenneth Gagnon;masculino;pix
2024-05-22 22:19:50.283550;88;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Phyllis Day;feminino;cartão de crédito
2024-05-22 22:28:47.675781;89;São Paulo;Ana Oliveira;Tablet Apple Ipad;Keith Golden;masculino;cartão de crédito
2024-05-22 22:58:52.898700;90;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Mandy Lobendahn;feminino;dinheiro
2024-05-23 00:29:50.743216;91;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Arlen Frazier;masculino;cartão de crédito
2024-05-23 01:05:47.800816;92;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Mary Robinson;feminino;pix
2024-05-23 15:21:51.204262;93;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Paul Perry;masculino;dinheiro
2024-05-23 23:02:53.266832;94;Florianópolis;Tiago Lima;Smartwatch Garmin;Lucinda Clarno;feminino;dinheiro
2024-05-23 23:42:48.077079;95;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Elsie Harvey;feminino;boleto
2024-05-24 01:17:49.029536;96;Florianópolis;Tiago Lima;Smartwatch Garmin;Fernando Lisowski;masculino;pix
2024-05-24 16:03:46.275036;97;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Robert Miller;masculino;dinheiro
2024-05-24 19:07:49.877787;98;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Antonio Tabb;masculino;pix
2024-05-24 20:42:48.142240;99;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Santiago Bordeaux;masculino;boleto
2024-05-24 21:16:50.031401;100;Porto Alegre;Roberto Ferreira;Smartwatch Garmin;Kimberly Mullins;feminino;dinheiro
2024-05-24 22:50:53.139258;101;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Christina Chapman;feminino;dinheiro
2024-05-25 18:42:47.954580;102;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Virginia Ortiz;feminino;boleto
2024-05-25 20:36:53.344407;103;São Paulo;Ana Oliveira;Tablet Apple Ipad;Dora Learn;feminino;boleto
2024-05-26 15:21:46.275138;104;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Michael Ned;masculino;dinheiro
2024-05-26 16:46:49.315380;105;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Glenn Moore;masculino;cartão de crédito
2024-05-27 01:04:53.197647;106;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Sharleen Ouzts;feminino;boleto
2024-05-28 00:10:49.155354;107;São Paulo;Lucas Pereira;Tablet Apple Ipad;Lauren Hilliard;feminino;cartão de crédito
2024-05-28 16:13:46.215346;108;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Antionette Mann;feminino;cartão de crédito
2024-05-28 16:23:50.033906;109;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Stella Orth;feminino;boleto
2024-05-28 17:00:49.621611;110;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Tiffany Rivera;feminino;boleto
2024-05-28 17:00:51.405571;111;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Clarice Bahner;feminino;dinheiro
2024-05-28 17:04:48.477851;112;São Paulo;Lucas Pereira;Smartwatch Garmin;Anthony Davis;masculino;pix
2024-05-28 17:55:50.146477;113;São Paulo;Ana Oliveira;Smartwatch Garmin;Armandina Stokes;feminino;pix
2024-05-28 18:53:51.889068;114;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Chester Coley;masculino;dinheiro
2024-05-28 20:21:46.907845;115;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Penny Collins;feminino;boleto
2024-05-28 21:29:51.915101;116;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Marie Canter;feminino;cartão de crédito
2024-05-28 22:18:51.332045;117;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Jerome Hoffman;masculino;cartão de crédito
2024-05-29 15:58:47.821060;118;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Anthony Gregory;masculino;cartão de crédito
2024-05-29 17:19:51.182671;119;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Catherine Farrington;feminino;cartão de crédito
2024-05-29 18:38:51.184073;120;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Rona Moyes;feminino;pix
2024-05-29 19:25:50.523977;121;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Joseph Rodriguez;masculino;dinheiro
2024-05-29 22:48:50.119469;122;São Paulo;Lucas Pereira;Smartwatch Garmin;Reginald Johnson;masculino;cartão de crédito
2024-05-29 22:57:45.653426;123;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Billie Pannell;feminino;cartão de crédito
2024-05-30 02:03:46.323178;124;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Jack Imperato;masculino;pix
2024-05-30 18:07:47.851482;125;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Donovan Floto;masculino;dinheiro
2024-05-30 19:14:50.005874;126;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Richard Thomas;masculino;cartão de crédito
2024-05-30 19:46:53.034442;127;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Rita Pegoda;feminino;boleto
2024-05-30 20:05:49.998483;128;Florianópolis;Tiago Lima;Notebook Dell Inspiron;Madeline Vandyke;feminino;boleto
2024-05-30 21:14:52.492063;129;São Paulo;Ana Oliveira;Smartphone Samsung Galaxy;Jessica Mcquay;feminino;dinheiro
2024-05-30 21:24:49.975260;130;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Michael Hernandez;masculino;pix
2024-05-31 00:27:49.979937;131;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Joann Young;feminino;cartão de crédito
2024-05-31 15:11:47.833507;132;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Melissa Collins;feminino;dinheiro
2024-05-31 18:31:52.766892;133;Rio de Janeiro;Pedro Souza;Tablet Apple Ipad;Nancy Strutz;feminino;boleto
2024-05-31 20:57:47.985147;134;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Daniel Reed;masculino;boleto
2024-05-31 22:40:47.741636;135;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Laura Haas;feminino;boleto
2024-05-31 23:30:47.465752;136;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Brian Martin;masculino;cartão de crédito
2024-06-01 00:11:50.704115;137;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Edna Sperrey;feminino;pix
2024-06-01 18:21:49.257229;138;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Florence Chang;feminino;dinheiro
2024-06-01 18:23:47.737393;139;São Paulo;Lucas Pereira;Smartwatch Garmin;Justin Caulfield;masculino;boleto
2024-06-01 18:53:47.947401;140;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Jackie Erickson;feminino;dinheiro
2024-06-01 19:45:50.418744;141;Belo Horizonte;Fernanda Costa;Smartwatch Garmin;Leah Ballard;feminino;pix
2024-06-01 20:04:48.308281;142;Florianópolis;Tiago Lima;Tablet Apple Ipad;Tiffany Day;feminino;cartão de crédito
2024-06-02 17:40:53.114840;143;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Trinidad Anderson;masculino;dinheiro
2024-06-02 19:20:46.694616;144;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Thomas Corona;masculino;cartão de crédito
2024-06-02 20:14:46.870510;145;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Anna Santana;feminino;cartão de crédito
2024-06-02 22:15:51.695421;146;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Robert Gershon;masculino;cartão de crédito
2024-06-03 16:27:50.821465;147;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Alice Mcdermond;feminino;cartão de crédito
2024-06-03 16:40:51.020517;148;Belo Horizonte;Carlos Silva;Smartphone Samsung Galaxy;Foster Gambrill;masculino;boleto
2024-06-03 22:14:46.210876;149;Rio de Janeiro;Pedro Souza;Fone de Ouvido Sony;Ashley Hurdle;feminino;boleto
2024-06-04 00:17:47.846749;150;Florianópolis;Tiago Lima;Smartwatch Garmin;Anthony Craighead;masculino;cartão de crédito
2024-06-04 00:18:52.510957;151;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Veronica Lee;feminino;cartão de crédito
2024-06-04 00:23:47.094921;152;Porto Alegre;Mariana Gomes;Tablet Apple Ipad;Frances Rice;feminino;pix
2024-06-04 01:04:47.904909;153;Florianópolis;Tiago Lima;Tablet Apple Ipad;Kelly Davis;feminino;boleto
2024-06-04 15:41:47.527027;154;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;Steven Rainey;masculino;cartão de crédito
2024-06-04 17:19:52.598895;155;Belo Horizonte;Carlos Silva;Tablet Apple Ipad;Ignacio Isom;masculino;pix
2024-06-04 18:48:50.558320;156;Florianópolis;Tiago Lima;Smartwatch Garmin;Brandon Wiltberger;masculino;boleto
2024-06-04 19:16:51.892845;157;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Johnny Campbell;masculino;boleto
2024-06-04 20:41:50.343951;158;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Brian Nixon;masculino;cartão de crédito
2024-06-04 22:15:50.311499;159;São Paulo;Ana Oliveira;Smartwatch Garmin;Susan Weaver;feminino;boleto
2024-06-04 22:54:50.144782;160;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Laura Benson;feminino;cartão de crédito
2024-06-05 00:15:48.234849;161;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Karen Authement;feminino;dinheiro
2024-06-05 15:58:52.595790;162;Rio de Janeiro;Juliana Almeida;Fone de Ouvido Sony;Kayla Bidwell;feminino;cartão de crédito
2024-06-05 18:07:47.824150;163;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Arlene Munro;feminino;pix
2024-06-05 19:43:52.471576;164;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Bobbie Oflaherty;feminino;pix
2024-06-05 20:51:52.289159;165;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Robert Castillo;masculino;pix
2024-06-05 20:54:45.666431;166;São Paulo;Lucas Pereira;Tablet Apple Ipad;Linda Hollingsworth;feminino;boleto
2024-06-05 23:30:52.274195;167;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Juanita Suarez;feminino;pix
2024-06-06 00:44:48.404288;168;Porto Alegre;Roberto Ferreira;Tablet Apple Ipad;Odessa Babecki;feminino;cartão de crédito
2024-06-06 01:02:51.610364;169;Belo Horizonte;Carlos Silva;Fone de Ouvido Sony;Ruth Long;feminino;cartão de crédito
2024-06-06 18:35:46.237357;170;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Lance Austell;masculino;cartão de crédito
2024-06-06 19:11:46.258050;171;Rio de Janeiro;Juliana Almeida;Smartwatch Garmin;Anna Colburn;feminino;boleto
2024-06-06 19:15:50.906420;172;Florianópolis;Tiago Lima;Tablet Apple Ipad;James Pearson;masculino;boleto
2024-06-06 19:21:53.815406;173;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Jennifer Klein;feminino;pix
2024-06-06 21:59:48.242757;174;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Mary Hines;feminino;cartão de crédito
2024-06-07 01:49:49.022327;175;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Patricia Hope;feminino;boleto
2024-06-07 16:40:50.998129;176;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Daniel Santana;masculino;pix
2024-06-07 17:16:49.315524;177;Florianópolis;Gabriela Santos;Tablet Apple Ipad;Ashley Brown;feminino;boleto
2024-06-07 22:35:49.886578;178;Porto Alegre;Roberto Ferreira;Notebook Dell Inspiron;Kathy Tran;feminino;boleto
2024-06-07 23:20:46.629055;179;Porto Alegre;Roberto Ferreira;Fone de Ouvido Sony;Nina Romero;feminino;boleto
2024-06-08 00:41:53.796660;180;Rio de Janeiro;Pedro Souza;Smartwatch Garmin;Kelly Hurst;feminino;boleto
2024-06-08 01:45:46.336586;181;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Leroy Griffin;masculino;pix
2024-06-08 19:48:47.749178;182;Belo Horizonte;Fernanda Costa;Notebook Dell Inspiron;Sade Rosenberg;feminino;boleto
2024-06-08 19:53:49.094531;183;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;William Blair;masculino;dinheiro
2024-06-08 20:25:53.239493;184;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Henry Schmitt;masculino;boleto
2024-06-08 20:33:52.491333;185;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Jessie Michaud;feminino;dinheiro
2024-06-08 20:41:45.745229;186;Florianópolis;Tiago Lima;Smartwatch Garmin;Iris Holland;feminino;pix
2024-06-09 17:31:50.579034;187;São Paulo;Lucas Pereira;Fone de Ouvido Sony;Lisa Fair;feminino;cartão de crédito
2024-06-09 18:24:52.850581;188;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Laura Lindberg;feminino;cartão de crédito
2024-06-09 20:38:50.999874;189;São Paulo;Lucas Pereira;Smartwatch Garmin;Aaron Murray;masculino;boleto
2024-06-09 21:02:46.641085;190;São Paulo;Lucas Pereira;Smartphone Samsung Galaxy;Virginia Martinez;feminino;boleto
2024-06-10 01:02:46.048396;191;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Tommie Taylor;masculino;cartão de crédito
2024-06-10 01:07:50.906670;192;Florianópolis;Tiago Lima;Fone de Ouvido Sony;Eva Widmer;feminino;boleto
2024-06-10 18:04:49.733569;193;São Paulo;Ana Oliveira;Notebook Dell Inspiron;Maxine Schleck;feminino;cartão de crédito
2024-06-10 18:35:45.797520;194;Florianópolis;Gabriela Santos;Smartwatch Garmin;Scott Headley;masculino;dinheiro
2024-06-10 19:06:49.980501;195;Rio de Janeiro;Pedro Souza;Smartphone Samsung Galaxy;Annette Neal;feminino;dinheiro
2024-06-10 19:21:50.091658;196;Belo Horizonte;Fernanda Costa;Fone de Ouvido Sony;Thomas Hanna;masculino;dinheiro
2024-06-10 23:14:48.429483;197;Porto Alegre;Mariana Gomes;Notebook Dell Inspiron;Petra Fallon;feminino;pix
2024-06-11 17:05:52.018511;198;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Darrel Mckenney;masculino;dinheiro
2024-06-11 17:09:51.300704;199;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Paula Hinojosa;feminino;pix
2024-06-11 17:36:49.807982;200;Florianópolis;Gabriela Santos;Fone de Ouvido Sony;Deborah Crook;feminino;cartão de crédito
2024-06-11 17:40:48.632213;201;Porto Alegre;Roberto Ferreira;Smartphone Samsung Galaxy;William Reliford;masculino;dinheiro
2024-06-11 19:24:50.006415;202;Belo Horizonte;Carlos Silva;Notebook Dell Inspiron;Susan Everett;feminino;cartão de crédito
2024-06-11 21:59:49.409453;203;Florianópolis;Gabriela Santos;Smartphone Samsung Galaxy;Jeffrey Alexander;masculino;boleto
2024-06-11 22:21:52.007779;204;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Brian Helwig;masculino;dinheiro
2024-06-11 23:22:51.420870;205;São Paulo;Lucas Pereira;Tablet Apple Ipad;Adam Hazley;masculino;pix
2024-06-12 01:01:48.281422;206;Porto Alegre;Mariana Gomes;Smartphone Samsung Galaxy;Lillian Kirby;feminino;boleto
2024-06-12 16:21:50.981990;207;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Greg Law;masculino;pix
2024-06-12 18:16:47.656881;208;Belo Horizonte;Fernanda Costa;Tablet Apple Ipad;Constance Parker;feminino;cartão de crédito
2024-06-12 21:21:53.059384;209;São Paulo;Lucas Pereira;Notebook Dell Inspiron;Jerry Saunders;masculino;dinheiro
2024-06-12 22:04:51.346895;210;Florianópolis;Tiago Lima;Tablet Apple Ipad;Ella Kindig;feminino;pix
2024-06-12 22:30:49.370162;211;Belo Horizonte;Fernanda Costa;Smartphone Samsung Galaxy;Jeffrey Moore;masculino;dinheiro
2024-06-13 01:18:52.657669;212;Florianópolis;Tiago Lima;Smartphone Samsung Galaxy;Angela Brotherson;feminino;dinheiro
